GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Protractor Testing,com.mycompany.myapp.aop.logging,LoggingAspect,177,0,10,0,24,0,10,0,5,0
Protractor Testing,com.mycompany.myapp.service.mapper,UserMapper,118,0,6,0,37,0,11,0,8,0
Protractor Testing,com.mycompany.myapp.service.util,RandomUtil,15,0,0,0,5,0,5,0,5,0
Protractor Testing,com.mycompany.myapp.web.rest.errors,ErrorConstants,22,0,0,0,7,0,1,0,1,0
Protractor Testing,com.mycompany.myapp.web.rest.errors,EmailAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Protractor Testing,com.mycompany.myapp.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Protractor Testing,com.mycompany.myapp.web.rest.errors,BadRequestAlertException,54,0,0,0,12,0,5,0,5,0
Protractor Testing,com.mycompany.myapp.web.rest.errors,InvalidPasswordException,6,0,0,0,2,0,1,0,1,0
Protractor Testing,com.mycompany.myapp.web.rest.errors,ExceptionTranslator,197,0,14,0,46,0,14,0,7,0
Protractor Testing,com.mycompany.myapp.web.rest.errors,EmailNotFoundException,6,0,0,0,2,0,1,0,1,0
Protractor Testing,com.mycompany.myapp.web.rest.errors,LoginAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Protractor Testing,com.mycompany.myapp.config.audit,AuditEventConverter,124,0,16,0,29,0,13,0,5,0
Protractor Testing,com.mycompany.myapp.web.rest,AccountResource,270,0,22,0,61,0,30,0,19,0
Protractor Testing,com.mycompany.myapp.web.rest,AccountResource.AccountResourceException,4,0,0,0,2,0,1,0,1,0
Protractor Testing,com.mycompany.myapp.web.rest,PersonDetailsResource,294,0,8,0,55,0,12,0,8,0
Protractor Testing,com.mycompany.myapp.web.rest,CourseResource,294,0,8,0,55,0,12,0,8,0
Protractor Testing,com.mycompany.myapp.web.rest,UserResource,224,0,14,0,39,0,14,0,7,0
Protractor Testing,com.mycompany.myapp.web.rest,ClientForwardController,5,0,0,0,2,0,2,0,2,0
Protractor Testing,com.mycompany.myapp.web.rest,AuditResource,56,0,0,0,12,0,4,0,4,0
Protractor Testing,com.mycompany.myapp.web.rest.vm,KeyAndPasswordVM,17,0,0,0,7,0,5,0,5,0
Protractor Testing,com.mycompany.myapp.web.rest.vm,ManagedUserVM,22,0,0,0,6,0,4,0,4,0
Protractor Testing,com.mycompany.myapp.security,UserNotActivatedException,9,0,0,0,4,0,2,0,2,0
Protractor Testing,com.mycompany.myapp.security,DomainUserDetailsService,131,0,4,0,20,0,10,0,8,0
Protractor Testing,com.mycompany.myapp.security,PersistentTokenRememberMeServices.UpgradedRememberMeToken,32,0,4,0,8,0,4,0,2,0
Protractor Testing,com.mycompany.myapp.security,SecurityUtils,9,88,2,2,3,22,2,8,0,8
Protractor Testing,com.mycompany.myapp.security,SpringSecurityAuditorAware,8,0,0,0,2,0,2,0,2,0
Protractor Testing,com.mycompany.myapp.security,PersistentTokenRememberMeServices,353,0,16,0,78,0,16,0,8,0
